created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Jan 02 04:33:57 +0000 2022;1477498374085431297;"Shin Tae Yong akui posisi striker sebagai salah satu titik lemah timnas Indonesia:  Ezra, Dedik, Saghara, Yudo 🤐 https://t.co/NU7AiIWo3N";178;492;629;7017;in;756534156;1477498374085431297;SiaranBolaLive;https://twitter.com/SiaranBolaLive/status/1477498374085431297
Sun Jan 02 04:26:19 +0000 2022;1477496451194183680;"@AREAJULID [+999 -20] Coach-nim daebak ㅎㅎ Setiap hari ia memperlihatkan ketagasan untuk timnas Indonesia.  Sepertinya itulah alasan mengapa ia dicintai warga Indonesia.";32;8;209;5107;in;1102064503749959681;1477494344361791489;OHMYV3NUS;https://twitter.com/OHMYV3NUS/status/1477496451194183680
Sun Jan 02 04:12:54 +0000 2022;1477493077610614786;"2022 akan jadi tahun yang sibuk bagi Timnas Indonesia dan Shin Tae Young karena ada :  1. AFF U-23 (Februari) 2. Sea Games 2022 (Mei) 3. Kualifikasi Piala Asia (Juni) 4. Asian Games (September) 5. AFF 2022 (Desember)  Semoga skuat Garuda ini dipertahankan Shin Tae Young https://t.co/ANzcEpvmNF";66;93;579;3343;in;1857727082;1477493077610614786;SeleccionINA;https://twitter.com/SeleccionINA/status/1477493077610614786
Sat Jan 01 17:09:08 +0000 2022;1477326033573466113;"🗣️“Kalau memang saya dibawa Coach Shin Tae-yong ke luar (negeri), tentunya ini sangat baik bagi karier saya dan saya bersedia untuk bermain di luar negeri,”  Gelandang Persebaya dan Timnas Indonesia, Ricky Kambuaya (25) pasca pertandingan laga Final Piala AFF [via Skor] https://t.co/wZAyiuf0Gi";35;81;370;3698;in;811427632336146433;1477326033573466113;Indostransfer;https://twitter.com/Indostransfer/status/1477326033573466113
Sat Jan 01 16:45:08 +0000 2022;1477319992056053761;"𝙏𝙀𝙍𝙄𝙈𝘼 𝙆𝘼𝙎𝙄𝙃 𝙂𝘼𝙍𝙐𝘿𝘼 🇮🇩  Apresiasi tinggi kita ucapkan untuk perjuangan timnas Indonesia di Piala AFF 2020 🔥  Kalian luar biasa! Garuda tetap di hati! ❤️🇮🇩  Jaya! Jaya! Jaya! 🔥🔥🔥 https://t.co/0ztGiFnNuP";24;34;567;3469;in;27197792;1477319992056053761;GOAL_ID;https://twitter.com/GOAL_ID/status/1477319992056053761
Sat Jan 01 16:01:48 +0000 2022;1477309090183352322;"Pelatih Timnas Indonesia, Shin Tae-yong, menceritakan hal yang cukup mengejutkan mengenai hotel tempat para pemain menginap.  Skuat Garuda satu lantai dengan orang-orang umum. Ketika weekend, ada pesta dan orang mabuk-mabukan yang mengganggu istirahat para pemain. https://t.co/G1bw1cja2B";361;279;1785;10182;in;1197894584249937921;1477309090183352322;vocketfcID;https://twitter.com/vocketfcID/status/1477309090183352322
Sat Jan 01 15:32:55 +0000 2022;1477301819915206658;"Timnas Indonesia dianugerahkan Fairplay Team Award pada gelaran AFF Suzuki Cup 2020.  Selamat, Garuda! ❤️🇮🇩  #KitaGaruda #MeraihImpian #EmergingStrongerTogether #TimnasDay https://t.co/Amft5yYYD0";65;170;1182;8001;in;2363027508;1477301819915206658;PSSI;https://twitter.com/PSSI/status/1477301819915206658
Sat Jan 01 15:17:05 +0000 2022;1477297836345610240;"Selamat kepada Thailand yang tampil menjadi juara Piala AFF 2020 malam ini.   Bagi Timnas Indonesia, kalian sudah berjuang dengan gigih dan sportif. Meski belum juara, saya dan seluruh rakyat Indonesia tetap bangga atas perjuangan Anda semua. https://t.co/ttgQOYrTBn";148;877;3149;28653;in;366987179;1477297836345610240;jokowi;https://twitter.com/jokowi/status/1477297836345610240
Sat Jan 01 14:58:17 +0000 2022;1477293103480389635;"Terima kasih Timnas Garuda! Perjuangan kalian menginspirasi, bangga dengan semangat juang tanpa lelah untuk Indonesia ✊🏻🇮🇩 #FinalPialaAFF2020 https://t.co/T4P1c278Hu";26;55;619;5247;in;1341928495253868545;1477293103480389635;YaqutCQoumas;https://twitter.com/YaqutCQoumas/status/1477293103480389635
Sat Jan 01 14:53:37 +0000 2022;1477291929192652803;"Saddd Indonesia blm bisa menang kali ini tapi tetep bangga sama Timnas yg udh berjuang. SEMANGATT TERUSSS #KitaGaruda #TIMNASDAY 🇮🇩";21;62;422;5031;in;63695781;1477291929192652803;raisa6690;https://twitter.com/raisa6690/status/1477291929192652803
