,id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
85,4Wu5fxMRBVbjacxhTDK5qV,Raim Laode Rembulan Malam,Raim Laode Rembulan Malam,Dj Maemunah,2023-03-29,170095,0,0.641,0.332,0.478,0.922,0.194,-7.75,0.0966,174.198,4
86,29NkgMOvy5lkPmwgTO3dQ0,忘記傷害,Light Up My Live Concert 2011,Raymond Lam,2011-10-06,217386,30,0.397,0.534,0.453,0.0,0.481,-13.806,0.0419,145.418,4
87,58Q5HORjUz4n08ZXUHbw5a,Raim Laode Mencari Alasan,Raim Laode Mencari Alasan,DJ Budi Setiawan,2023-05-01,213552,0,0.758,0.0686,0.72,0.838,0.332,-11.031,0.0318,133.864,4
88,4jgiJo1yd6j0JGlKfGfsMZ,明天以後,壹加壹 合唱精選,Various Artists,2013-08-15,250453,26,0.615,0.719,0.531,0.0,0.135,-7.521,0.032,127.103,4
89,2wQepcFVM633aiyijt3H1o,Raim Laode Ikan Dalam Kolam,Raim Laode Ikan Dalam Kolam,DJ Peni Rahmadani,2023-05-09,153156,0,0.527,0.0228,0.782,0.653,0.189,-10.368,0.037,180.27,4
90,7vv6hw5iRKUDjIIEPEqX3N,唱情歌的人,唱情歌的人,Raymond Lam,2021-07-08,209525,33,0.478,0.269,0.595,0.0,0.102,-5.955,0.0306,145.998,4
91,4BgD9LgrHMalvowaQuz4Mp,Raim Laode Tung Keripit Roma,Raim Laode Tung Keripit Roma,Dj Arta Sina,2023-04-30,98195,0,0.762,0.0229,0.923,0.796,0.0788,-10.638,0.0389,133.901,4
92,1TEAUqylc7wcxVjVF2gd2d,我們很好,Come 2 Me,Raymond Lam,2010-04-09,228960,31,0.518,0.282,0.35,0.0,0.212,-11.601,0.0309,140.001,4
93,5t9xduLQ0Onv2GqUrdruYX,Tak Segampang Itu Raim Laode,Tak Segampang Itu Raim Laode,Dj Darpi Yana,2023-05-09,163161,0,0.766,0.58,0.415,0.934,0.208,-13.476,0.0583,133.949,4
94,5umuOevtGZ87VOxMAh3zV9,"朋友,請不要傷悲",愛在記憶中找你,Raymond Lam,2007-11-23,251628,25,0.658,0.621,0.519,0.0,0.126,-7.38,0.031,109.981,4
95,3ygB0NZEZejnnw7vrIhRbc,komang raim laode (remix) INS,komang raim laode (remix) INS,zoro remix,2021,193478,0,0.677,0.0632,0.948,0.775,0.0748,-9.984,0.0456,145.009,4
96,43Q108vC8NaoDlBlWpdtfc,反話,愛在記憶中找你,Raymond Lam,2007-11-23,205423,30,0.682,0.497,0.62,0.0,0.135,-6.818,0.042,129.998,4
97,5Lw5DVFhOeSCBJktQzDsBi,DJ RAIM LAODE VIRAL TIKTOK TERBARU 2023,DJ RAIM LAODE VIRAL TIKTOK TERBARU 2023,Doni Fernandes,2023-04-04,252538,1,0.895,0.0195,0.613,0.533,0.0719,-11.784,0.0736,114.986,4
98,27NRZUFwO8J17mAgjtJDrB,"愛不疚 - (劇集 ""溏心風暴之家好月圓"" 片尾曲)","愛不疚 (劇集 ""溏心風暴之家好月圓"" 片尾曲)",Raymond Lam,2008-07-28,231920,46,0.569,0.563,0.526,0.0,0.156,-9.621,0.0375,140.029,5
99,0zuPCo9e41grxlMTp46CgL,Raim Laode Bukan Aku Tak Cinta,Raim Laode Bukan Aku Tak Cinta,Dj Dadang,2023-05-05,124030,0,0.653,0.00686,0.892,0.854,0.23,-10.865,0.0418,134.153,4
100,6dXiWwFrcGieqnoLYzPNp5,Sial,fábula,Mahalini,2023-01-23,243724,88,0.563,0.89,0.431,2.9e-06,0.123,-6.784,0.039,120.014,4
101,3vv2KJC3vaWPXXF5Ba7biE,Terms and Conditions,Terms and Conditions,Mahalia,2023-04-05,209682,67,0.7,0.0816,0.657,3.63e-06,0.115,-7.121,0.0603,91.554,4
102,0zYSfIjxemTi6jvUxGrDHl,Bohongi Hati,fábula,Mahalini,2023-01-23,262753,78,0.443,0.648,0.462,0.0,0.315,-6.58,0.0315,130.774,4
103,6Iq3sgLVrqqZfRitLaeHkn,Sisa Rasa,fábula,Mahalini,2023-01-23,254863,78,0.488,0.503,0.405,6.86e-06,0.108,-6.324,0.0302,122.049,4
104,2GoXtcbzgBUrvYv6ac7zA9,Letter To Ur Ex,Letter To Ur Ex,Mahalia,2022-02-17,134626,59,0.69,0.572,0.494,0.00068,0.129,-7.41,0.0378,79.955,4
105,6pmo9ha8iOPZc5lxPU9o8w,Sisa Rasa,Sisa Rasa,Mahalini,2021-10-22,254863,75,0.488,0.503,0.405,6.86e-06,0.108,-6.324,0.0302,122.049,4
106,0qvgnnPJsK2AF2B3RyVDW6,Buru-Buru,fábula,Mahalini,2023-01-23,222500,63,0.663,0.777,0.595,0.000122,0.353,-6.061,0.0501,92.012,4
107,6fX8WwxAQ6rCPIC7lMgztu,Kisah Sempurna,fábula,Mahalini,2023-01-23,276019,74,0.537,0.51,0.486,1.65e-05,0.0817,-8.521,0.0336,122.099,4
108,2o8Fhht6qSDVTDwc0AqA4W,Ini Laguku,fábula,Mahalini,2023-01-23,217666,70,0.492,0.705,0.403,9.72e-06,0.108,-6.797,0.0302,131.655,4
109,0OgwkVbQ4jVfsZJO4Xs9hC,Aku Yang Salah,Aku Yang Salah,Mahalini,2020-08-07,250122,73,0.552,0.71,0.4,3.39e-06,0.109,-7.369,0.0304,119.913,4
110,6gB7kLGZNkf5tkvWkzSGKR,Kisah Sempurna,Kisah Sempurna,Mahalini,2022-04-22,276019,75,0.537,0.51,0.486,1.65e-05,0.0817,-8.521,0.0336,122.099,4
111,7mvma3mO5hSyhVbJDXxtFz,Grateful,Grateful,Mahalia,2019-04-26,185991,60,0.655,0.73,0.351,0.000176,0.291,-7.628,0.153,141.689,4
112,3PP6leq3XCLDzi32Fb35Nw,Melawan Restu,fábula,Mahalini,2023-01-23,219896,71,0.626,0.808,0.344,0.0,0.0773,-7.867,0.0318,119.895,4
113,68OnIh4v10tWxZYJTsHJWX,Plastic Plants,Isolation Tapes,Mahalia,2020-05-01,199533,57,0.823,0.636,0.441,7.68e-05,0.114,-7.645,0.156,135.947,4
114,6shEr6AgLBDlfYlax2UzzL,Melawan Restu,Melawan Restu,Mahalini,2021-03-26,219896,69,0.626,0.808,0.344,0.0,0.0773,-7.867,0.0318,119.895,4
115,4LjOVLoj6OrrNJktFTYPGK,Letter To Ur N(ex)t,Letter To Ur Ex,Mahalia,2022-05-20,134279,48,0.49,0.879,0.296,0.000141,0.106,-10.989,0.0985,105.829,4
116,6dbApVkSR5CVyiWrNTeG9R,Bawa Dia Kembali,fábula,Mahalini,2023-01-23,226774,62,0.542,0.714,0.551,0.0,0.128,-5.981,0.0394,135.946,4
117,4ClgjUS34NtmRlEIZ5gtSW,Bawa Dia Kembali,Bawa Dia Kembali,Mahalini,2015-02-28,251768,67,0.517,0.825,0.406,6.66e-06,0.166,-5.239,0.0265,135.924,4
118,0GDxF5uQIqaKhc7qTDlqXZ,Janji Kita,Janji Kita,Mahalini,2021-12-31,279344,68,0.461,0.314,0.402,0.0,0.117,-7.609,0.0255,95.868,4
119,4itoyBJyVSHDybffLMcNkS,Satu Tuju,Satu Tuju,Mahalini,2022-09-20,249625,64,0.298,0.639,0.495,0.0,0.279,-5.539,0.0337,121.928,4
120,1Mzwyd0kH1PfUAN0LQyhWw,Putar Waktu,fábula,Mahalini,2023-01-23,250054,62,0.37,0.904,0.357,4.87e-06,0.0952,-7.33,0.0326,125.996,4
121,6A8IR5kVgXncIBC9W0YHjL,"You Know, You Know (with John McLaughlin) - Remastered",The Inner Mounting Flame,Mahavishnu Orchestra,1971,307400,33,0.501,0.219,0.202,0.716,0.111,-21.447,0.0682,136.622,4
122,5dPyoAqkQZYyEnK2T2ehKL,Letter To Ur N(ex)t,In The Club (feat. Cat Burns) [Acoustic],Mahalia,2022-07-29,134279,44,0.49,0.879,0.296,0.000141,0.106,-10.989,0.0985,105.829,4
123,5YPXwMPngtZUXWzmtS2sHV,Forever,Letter To Ur Ex,Mahalia,2022-05-20,209693,34,0.765,0.0873,0.544,5.69e-06,0.28,-6.495,0.0683,107.972,4
124,6tl50DD3CKqCIClxLeUDO0,You're Mine,You're Mine,Rizky Febian,2022-09-02,248039,61,0.495,0.686,0.395,1.45e-05,0.124,-6.879,0.0278,109.974,4
125,16Km3GR6GYMrIyVPk31DAe,Whenever You're Ready,Whenever You're Ready,Mahalia,2021-07-15,205700,45,0.725,0.245,0.876,2.84e-06,0.0934,-4.375,0.167,99.959,4
126,3Teh4mkAMbANXzGcOzWAMZ,Pecahkan Hatiku,fábula,Mahalini,2023-01-23,241227,57,0.583,0.712,0.443,0.0,0.114,-6.121,0.0267,134.016,3
127,7kdmA9VZGf6AcsdI7PrGAI,Good Company (feat. Terrace Martin),LOVE AND COMPROMISE,Mahalia,2019-09-06,307906,38,0.474,0.273,0.644,1.16e-06,0.666,-5.468,0.159,64.148,3
128,5HAVM2LFcQvR2i1byYvRfv,CLEAR YOUR HEAD,CLEAR YOUR HEAD,Mahalini,2023-03-31,195191,56,0.632,0.27,0.789,0.0,0.0751,-5.183,0.0473,98.973,4
